Vendor Name,PO Number,Invoice Number,Invoice Date (YYYY-MM-DD),Basic Amount,GST Amount,PO Date (YYYY-MM-DD),Invoice Month (YYYY-MM),Received Date (YYYY-MM-DD),Total Amount,Credit Note Number,Credit Note Value,Remarks,Store Handover Date,Store Received Date,Store Remarks,HO Received Date,Forwarded to QS Date,Doc Ctrl Remarks,QS Certified Date,QS Certified Gross Amount,QS Certified Tax Amount,QS Certified Total (with GST),Advance Recovered,Credit Note Amount (QS),Retention Money,TDS,Other Deductions,Total Deductions,QS Certified Net Amount,Payment Certificate Number,QS Remarks,Procurement Received Date,Procurement Verify Date,Proc Received from QS Date,Mgmt Approval Date,Procurement Remarks,Accounts JV Date,Accounts Dept1 Date,Transfer Status,Transferred (Yes/No),Accounts Remarks,Payment Status,Paid Amount,Balance to Pay,Payment Date (YYYY-MM-DD)
SCP Concrete,POTQS001-A1,04226/2025-2026,26-03-2026,41525,7475,26-03-2026,Mar-26,26-03-2026,49000,,,,05-04-2026,26-03-2026,,06-04-2026,06-04-2026,,11-Apr-26,41525,7475,49000,0,0,0,0,0,0,49000,P22/PO01/5386/SCP,,,,,,,,,,,,,,,
SCP Concrete,POTQS001-A1,04227/2025-2026,26-03-2026,41525,7475,26-03-2026,Mar-26,26-03-2026,49000,,,,05-04-2026,26-03-2026,,06-04-2026,06-04-2026,,11-Apr-26,41525,7475,49000,0,0,0,0,0,0,49000,P22/PO01/5386/SCP,,,,,,,,,,,,,,,
SCP Concrete,POTQS001-A1,04231/2025-2026,26-03-2026,41525,7475,26-03-2026,Mar-26,26-03-2026,49000,,,,05-04-2026,26-03-2026,,06-04-2026,06-04-2026,,11-Apr-26,41525,7475,49000,0,0,0,0,0,0,49000,P22/PO01/5386/SCP,,,,,,,,,,,,,,,
Power tools and Tackles,POTQS067,PTT/29803/25-26,27-03-2026,117147,20486,27-03-2026,Mar-26,27-03-2026,137633,,,,05-04-2026,27-03-2026,,06-04-2026,06-04-2026,,11-Apr-26,117147,20486,137633,0,0,0,0,0,0,137633,P22/PO67/5387/PTT,,,,,,,,,,,,,,,
SCP Concrete,POTQS001-A1,04247/2025-2026,27-03-2026,19703,3547,27-03-2026,Mar-26,27-03-2026,23250,,,,05-04-2026,27-03-2026,,06-04-2026,06-04-2026,,11-Apr-26,19703,3547,23250,0,0,0,0,0,0,23250,P22/PO01/5386/SCP,,,,,,,,,,,,,,,
SCP Concrete,POTQS001-A1,04273/2025-2026,28-03-2026,11822,2128,28-03-2026,Mar-26,28-03-2026,13950,,,,05-04-2026,28-03-2026,,06-04-2026,06-04-2026,,11-Apr-26,11822,2128,13950,0,0,0,0,0,0,13950,P22/PO01/5386/SCP,,,,,,,,,,,,,,,
Faczo Tech Pvt Ltd,POTQS065,FACZO/25-26/1250,30-03-2026,9308,1675,30-03-2026,Mar-26,30-03-2026,10983,,,,05-04-2026,30-03-2026,,06-04-2026,06-04-2026,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
SCP Concrete,POTQS001-A1,00010/2026-2027,01-04-2026,23644,4256,01-04-2026,Apr-26,01-04-2026,27900,,,,05-04-2026,01-04-2026,,06-04-2026,06-04-2026,,11-Apr-26,23644,4256,27900,0,0,0,0,0,0,27900,P22/PO01/5386/SCP,,,,,,,,,,,,,,,
SCP Concrete,POTQS001-A1,00011/2026-2027,01-04-2026,23644,4256,01-04-2026,Apr-26,01-04-2026,27900,,,,05-04-2026,01-04-2026,,06-04-2026,06-04-2026,,11-Apr-26,23644,4256,27900,0,0,0,0,0,0,27900,P22/PO01/5386/SCP,,,,,,,,,,,,,,,
SCP Concrete,POTQS001-A1,00030/2026-2027,03-04-2026,37373,6727,03-04-2026,Apr-26,03-04-2026,44100,,,,05-04-2026,03-04-2026,,06-04-2026,06-04-2026,,11-Apr-26,37373,6727,44100,0,0,0,0,0,0,44100,P22/PO01/5386/SCP,,,,,,,,,,,,,,,
SCP Concrete,POTQS001-A1,00033/2026-2027,03-04-2026,29068,5232,03-04-2026,Apr-26,03-04-2026,34300,,,,05-04-2026,03-04-2026,,06-04-2026,06-04-2026,,11-Apr-26,29068,5232,34300,0,0,0,0,0,0,34300,P22/PO01/5386/SCP,,,,,,,,,,,,,,,
