Vendor Name,PO Number,Invoice Number,Invoice Date (YYYY-MM-DD),Basic Amount,GST Amount,PO Date (YYYY-MM-DD),Invoice Month (YYYY-MM),Received Date (YYYY-MM-DD),Total Amount,Credit Note Number,Credit Note Value,Remarks,Store Handover Date,Store Received Date,Store Remarks,HO Received Date,Forwarded to QS Date,Doc Ctrl Remarks,QS Certified Date,QS Certified Gross Amount,QS Certified Tax Amount,QS Certified Total (with GST),Advance Recovered,Credit Note Amount (QS),Retention Money,TDS,Other Deductions,Total Deductions,QS Certified Net Amount,Payment Certificate Number,QS Remarks,Procurement Received Date,Procurement Verify Date,Proc Received from QS Date,Mgmt Approval Date,Procurement Remarks,Accounts JV Date,Accounts Dept1 Date,Transfer Status,Transferred (Yes/No),Accounts Remarks,Payment Status,Paid Amount,Balance to Pay,Payment Date (YYYY-MM-DD)
Subhash Earth Excavation works,WOTQS005-A1,,,66560,11980.8,05-12-2026,Mar-26,,,,,,,,,17-03-2026,17-03-2026,,,66560,11981,78541,0,,0,1331,0,0.00,77209.60,P22/WO05/5318/NSU,,,,,,,,,,,,,,,
MD Faruk Civil Contractor,WOTQS010-A1,MDF/BCIM/TQS/04,27-03-2026,249179,0,06-02-2026,Mar-26,,,,,,,,,30-03-2026,30-03-2026,,,249178,0,249178,13514,,12459,2492,0,0.00,220713.73,P22/WO04/5324/MDF,,,,,,,,,,,,,,,
Habibur Rahaman,WOTQS004-A1,HR/BCIM/TQS/04,27-03-2026,357913,0,06-02-2026,Mar-26,,,,,,,,,30-03-2026,30-03-2026,,,357913,0,357913,34930,,0,3579,0,0.00,319403.38,P22/WO04/5323/HR,,,,,,,,,,,,,,,
Krishna Raju,WOTQS023,KR/BCIM/TQS/01,23-03-2026,59036,0,09-03-2026,Mar-26,,,,,,,,,30-03-2026,30-03-2026,,,59036,0,59036,20000,,0,590,0,0.00,38446.13,P22/WO23/5327/KR,,,,,,,,,,,,,,,
Bahulya Buildcast Pvt Ltd,WOTQS017,25-26/00400,27-03-2026,223675.21,40261.5378,,Mar-26,,,,,,,,,30-03-2026,30-03-2026,,,223675,40262,263937,0,,11184,4474,0,0.00,248279.48,P22/WO22/5326/BBPL,,,,,,,,,,,,,,,
Bahulya Buildcast Pvt Ltd,WOTQS017,25-26/00399,27-03-2026,228821.22,41187.8196,,Feb-26,,,,,,,,,30-03-2026,30-03-2026,,,228821,41188,270009,42042,,11441,4576,0,0.00,211949.55,P22/WO17/5325/BBPL,,,,,,,,,,,,,,,
Pragathi Road Lines,WOTQS014-A2,PRL-1674,25-02-2026,30050,0,08-01-2026,Mar-26,,,,,,,,,06-04-2026,06-04-2026,,,,0,0,0,,0,0,0,0.00,0.00,,,,,,,,,,,,,,,,
bureau Veritas India Private Limited,WOTQS015,8300259-5118165,24-03-2026,1140,205.2,29-12-2026,Mar-26,,,,,,,,,06-04-2026,06-04-2026,,,1140,205,1345,0,,0,23,0,0.00,1322.40,P22/WO15/5390/BVIPL,,,,,,,,,,,,,,,
Network Detective agency Private limited,WOTQ5012-A1,3809/2025-26,31-03-2026,106645.16,19196.1288,12-12-2026,Apr-26,,,,,,,,,08-04-2026,08-04-2026,,,106645,19196,125841,0,,0,2133,0,0.00,123708.39,P22/WO12/5389/NDAPL,,,,,,,,,,,,,,,
Alufort Enetrprises,WOTQS026,1008,06-04-2026,32736,5892.48,28-03-2026,,,,,,,,,,10-04-2026,10-04-2026,,,32736,5892,38628,0,,0,327,0,0.00,38301.12,P22/WO26/5420/ALF,,,,,,,,,,,,,,,
Pragathi Road Lines,,PRL-1703,,30050,0,,,,,,,,,,,,,,,,0,0,0,,0,,0,0.00,1279333.78,,,,,,,,,,,,,,,,
PRAgathi Road Lines,,PRL-1701,,31550,0,,,,,,,,,,,,,,,,0,0,0,,0,,0,0.00,0.00,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00,0.00,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
